Hour,DayOfWeek,Temperature,Energy_kWh
23,0,38,17.21473599
0,0,38,10.64104141
11,3,16,20.16341266
7,3,32,49.97947634
23,2,33,23.25880259
10,1,33,14.92197956
18,4,31,54.3117298
16,4,28,29.41119516
7,4,33,11.73206523
2,2,36,22.13103565
2,3,38,23.6511372
0,5,27,38.92233653
4,6,26,5.9302116
9,6,20,32.10588411
6,5,35,28.29183356
8,2,18,32.09810341
6,5,33,33.27953213
8,4,30,41.68403657
7,1,27,21.27696147
11,0,18,47.71438821
1,6,37,33.44717746
0,3,31,10.84736175
15,3,37,30.20412638
22,2,15,40.13293339
22,3,32,36.88203639
23,4,34,12.74401532
4,6,31,48.75889996
2,5,29,25.19661406
11,4,25,12.15612517
7,2,39,13.10880894
21,4,36,9.420574649
2,5,27,41.15831488
0,1,15,10.49137224
2,2,31,10.63063657
4,1,20,43.27122266
14,0,18,20.5071838
13,1,34,6.388605694
2,0,30,7.335288478
0,0,29,11.3976701
4,1,29,14.60270066
22,2,20,34.93157874
13,5,29,12.0796826
6,4,28,10.3493476
8,4,25,54.41236137
14,5,21,35.19748777
14,6,23,24.58958997
9,6,30,44.71893972
12,0,19,19.03928091
18,0,39,41.71251891
6,2,34,27.8002692
16,3,24,22.4256772
19,1,32,60.79574948
3,0,17,5.722783924
4,4,27,40.19770684
22,2,25,10.59722741
6,1,31,40.88963122
12,2,36,32.71603621
14,1,27,42.94751409
10,1,20,9.388144654
3,5,31,30.15412853
12,0,27,27.54895461
6,2,33,36.77869323
18,2,35,44.04307484
21,5,33,29.33305552
1,4,24,24.33181746
9,4,17,33.89754908
12,6,28,26.70189626
20,0,33,25.33215614
5,0,19,48.26810025
11,3,19,37.14848436
11,5,34,47.86102025
19,4,31,30.2027322
10,1,35,44.57034591
22,2,24,41.39554931
6,0,19,35.47185856
0,2,18,33.12631337
0,2,20,19.24473494
19,3,18,56.73848532
12,4,21,27.56819577
8,0,21,23.19012092
2,2,32,19.07884224
6,0,17,47.08836943
5,1,15,43.28061173
7,3,38,49.18575641
8,1,39,48.25970222
4,0,18,16.13795329
0,6,20,12.32667724
18,0,23,28.41114983
9,4,36,20.89080463
11,2,28,22.58069499
23,2,26,13.61424562
14,1,39,23.52449572
21,3,34,47.07474943
23,6,38,24.37430943
8,5,39,59.50930236
19,2,18,47.2477145
16,4,35,16.12091996
16,1,38,21.01346417
19,1,26,23.77637911
11,5,24,20.00581671
6,4,36,35.48934255
1,3,21,8.244999182
2,4,17,14.24306338
16,3,37,22.16484686
4,4,28,49.19222917
16,4,38,40.31878203
23,0,24,38.00690359
16,1,30,10.22859304
16,4,30,40.14481521
1,5,36,40.33709652
1,4,24,32.0496213
21,2,39,49.56628019
22,1,27,19.63642577
4,2,20,47.35726017
0,1,26,46.16290017
0,2,23,5.516629689
18,4,27,40.25524369
1,4,18,48.96969049
20,0,38,24.64046131
11,5,25,29.65031125
5,2,34,49.05308782
22,3,32,29.99729408
3,0,25,13.54168863
22,2,39,31.19824535
10,2,35,14.19982583
23,0,18,28.38669183
16,4,32,8.331899806
5,2,15,32.24672011
23,4,21,28.25554726
4,0,20,38.30726159
19,4,29,48.3815212
1,1,32,29.73228208
5,3,38,36.04004822
21,6,25,11.47738611
10,2,34,31.79118476
15,5,38,12.74497713
15,3,29,46.64849935
0,6,30,8.075034718
8,4,21,39.36686374
5,2,35,36.31088649
15,4,24,25.61099953
2,1,26,9.144286395
19,0,38,44.90205573
3,2,28,33.8734359
18,6,39,51.67065399
2,6,19,21.79669165
18,1,35,45.3646987
19,1,32,40.28089137
6,2,19,35.24252174
19,4,17,46.26006353
8,5,37,43.65902988
0,6,19,16.22859651
7,6,38,5.090833299
6,1,31,12.83367539
17,3,33,10.26797186
7,1,33,25.20881353
0,5,39,32.55161678
10,4,35,14.58882539
17,4,26,47.25756932
22,3,39,5.300695815
9,6,23,54.75354568
2,1,15,33.13421463
6,4,32,21.80996605
15,5,35,7.272002499
15,2,18,33.23689573
19,0,24,37.35260808
16,0,39,47.13202127
1,0,21,29.38955337
0,6,36,47.28431801
15,1,37,14.92176621
11,3,15,37.65766597
4,4,31,32.77620594
4,2,38,38.27337034
22,5,16,14.66005388
8,2,25,49.92475323
8,5,23,42.41181769
2,6,21,38.42712387
18,1,36,34.71700899
15,0,31,45.05256615
15,1,31,8.793559158
2,6,16,41.32351935
19,3,20,58.75938316
23,3,28,41.77635401
21,6,20,28.07268774
23,5,16,24.7273241
0,4,15,49.83180289
23,4,24,15.3127378
19,5,35,44.60941846
10,3,19,35.18039864
16,3,16,36.53904361
7,3,36,14.18110996
3,1,30,34.42973416
5,3,39,41.82663049
7,2,16,7.250835957
19,0,24,61.0184582
2,3,16,6.327682482
15,5,30,21.01869646
2,0,30,5.71159383
17,1,33,8.471532584
13,5,21,46.00257283
17,0,36,20.96873738
1,5,26,24.11471887
21,1,38,14.69049716
2,2,29,31.86930966
15,1,22,31.76614466
8,1,20,36.74901763
3,5,24,19.98656923
0,6,17,44.82339387
3,4,33,22.24779078
0,3,31,27.20754465
13,3,21,17.74871431
20,2,35,55.40462765
15,2,34,22.88516706
19,3,18,43.11249709
23,4,28,16.40107265
7,3,34,49.44468166
6,6,36,18.11730834
2,4,29,39.68341389
16,2,38,24.23730427
0,0,22,14.27978323
15,5,35,40.98734438
11,6,29,20.01230551
18,6,36,58.93370063
21,2,34,46.18657332
22,2,28,43.69207259
21,1,23,6.575356166
13,6,22,40.43180053
5,1,31,23.51027599
5,1,16,44.31753141
12,5,39,33.70794182
18,1,38,57.51394104
21,4,17,27.47442964
7,3,22,29.07614771
1,0,26,11.49744345
20,2,15,55.27943114
0,4,24,23.87253253
14,0,34,27.50360532
0,6,17,40.32939713
4,6,20,31.948043
15,6,21,14.04944273
18,4,34,46.56046966
3,4,37,23.34347861
2,2,39,26.12864939
16,3,32,6.274007348
16,1,25,14.45132073
11,6,33,17.64671366
13,5,19,37.08320035
20,3,33,20.5171613
5,5,25,23.39497676
2,2,38,46.58120917
8,2,26,25.03462774
4,2,24,28.23909747
23,0,22,40.39350721
16,5,38,47.41390884
13,3,23,38.60494878
20,3,18,52.42544969
2,4,19,42.19196406
0,4,35,25.07905494
19,6,22,56.26300397
20,4,37,20.35839821
22,2,23,46.60524749
0,3,29,24.94879293
2,5,29,29.90210845
17,2,30,16.4697012
9,0,28,53.41388748
21,4,22,8.448611291
2,2,32,44.26861111
7,2,24,42.26525731
13,0,34,14.72270523
23,1,20,41.41959792
17,3,26,40.38609799
14,5,16,33.4497469
21,6,21,21.80840796
22,1,30,17.21744394
1,4,17,15.43026156
9,2,27,34.33740332
1,0,17,45.66012995
16,0,32,8.493834919
7,3,25,42.29920743
0,1,22,20.70005338
8,6,20,43.47197282
10,3,15,40.75185351
21,2,15,44.79694462
15,3,37,20.5151639
6,5,22,25.78295666
9,0,19,38.65322292
22,0,30,5.596296508
2,4,25,18.31743
17,4,19,25.66351552
23,6,18,23.4992124
12,2,20,37.48681524
6,5,28,22.31616277
3,1,36,27.0219402
12,3,33,24.33238665
19,6,23,53.3281767
0,2,26,43.83375795
7,4,25,28.93500856
13,3,28,40.52444874
15,4,37,18.35540069
13,3,30,29.36163246
11,1,15,20.53534792
18,2,27,38.63904165
22,3,37,37.95862392
14,5,35,44.6748117
1,6,35,10.4672926
1,0,27,33.55876654
22,5,16,31.19647134
21,5,18,10.32867676
18,6,20,29.53524487
21,0,37,18.99511226
21,5,19,12.51189819
16,3,39,15.96782671
19,3,17,32.04203595
9,3,15,35.10532249
5,0,18,38.72257038
14,5,39,30.73604917
21,0,34,49.38110024
10,3,16,23.66311221
4,6,19,38.92392832
0,5,17,44.21607896
7,5,23,35.55403219
20,4,34,38.53391332
11,4,20,38.91175838
11,1,32,14.1650212
4,2,20,19.73984743
6,4,33,29.60083648
3,0,26,30.89342243
5,4,39,5.996366396
12,1,25,47.53013849
19,5,16,51.3482272
14,1,29,27.30666876
2,5,26,46.99072555
22,6,26,24.75930044
7,6,23,49.11960066
19,5,35,43.05281408
15,2,38,10.14285965
12,4,16,39.41604376
17,0,36,35.55039763
9,0,17,54.78440246
18,3,26,62.81489129
16,5,30,39.94201862
23,0,35,32.5101471
18,2,38,58.57890061
22,5,15,35.29608977
4,2,35,23.36535756
20,0,17,59.85288939
22,0,34,14.98552074
8,3,16,52.15885737
11,0,23,44.67035547
20,5,33,52.90924339
0,6,29,36.37739386
0,5,32,38.86872323
14,5,25,25.92748617
1,3,39,44.3376807
21,3,37,14.15464138
15,0,30,10.73238872
7,1,36,17.84789511
12,1,31,28.92098285
20,3,19,42.97528079
0,0,26,41.9269441
15,1,25,23.20558954
6,0,29,26.79549918
4,0,17,5.601545747
21,0,15,23.43826564
22,4,34,34.14984048
2,5,30,5.697874878
11,0,16,17.63968843
15,4,16,14.35803617
18,3,17,21.8893443
4,1,22,26.56670405
21,5,38,13.1775482
13,6,29,38.43866928
4,1,21,43.15675477
14,5,20,29.55133322
16,6,23,49.17683041
13,1,34,25.27153572
19,5,15,43.10156946
4,1,22,49.51479893
11,1,37,15.41967962
15,6,37,47.41456729
15,1,17,6.92768998
20,1,18,40.08741006
6,6,39,8.150158046
3,3,29,37.81556343
0,0,20,32.37840211
4,2,29,36.79854186
22,4,35,21.851618
9,2,17,36.62668703
21,2,39,7.039367553
4,5,35,20.74752228
3,0,35,46.8179781
1,5,28,22.06519417
19,0,34,57.41154678
9,6,28,57.90464771
18,6,18,36.79585204
0,0,26,33.43949062
23,1,31,9.291722102
4,3,21,9.665536133
12,1,23,7.189594865
3,3,17,31.1456792
15,5,27,24.17319399
23,3,29,29.66145605
15,5,32,28.44829357
22,6,33,20.7591346
1,2,15,35.48630367
16,6,20,39.13258464
19,6,37,20.65827165
23,2,16,14.32590349
11,3,38,37.09561406
17,3,28,22.39790777
2,5,20,34.81177761
0,1,28,20.61331969
0,5,18,22.58398185
18,1,35,27.14054932
10,6,22,16.62039588
4,2,17,32.24352909
11,6,33,24.49234001
2,0,28,39.84362073
0,3,34,43.36632297
0,1,31,29.37408882
7,5,39,39.12202814
9,2,22,33.81070309
10,1,38,23.67370469
11,5,28,37.07499543
12,3,20,22.37953968
11,6,37,31.48272208
13,3,36,13.34177506
1,4,30,31.98970917
18,0,39,58.76811683
17,4,33,44.08878379
2,2,28,37.59549828
22,1,33,38.55890206
16,2,17,30.10673503
7,6,24,31.31006406
9,5,33,26.01427616
1,3,23,24.97366348
18,4,34,40.28493277
8,4,27,63.13240261
6,6,21,24.39890882
3,4,28,29.72041902
20,6,23,43.99631297
17,2,37,33.65427727
12,3,39,38.67047741
10,1,33,15.12688443
23,5,29,28.79259886
3,1,34,42.16629683
20,2,28,40.84016212
3,5,38,17.53058959
9,4,20,49.46190839
4,0,35,42.06953281
8,2,18,22.84131318
23,2,22,39.95557175
2,3,31,41.97415698
16,1,23,25.76853174
2,2,15,49.24875456
15,2,38,40.40187533
3,4,34,39.81481542
17,4,39,38.65273585
16,5,28,11.77736464
6,6,25,14.77538989
23,6,35,25.87955592
22,0,17,16.88019575
4,6,23,23.68584376
11,3,28,44.98088495
16,0,23,42.09471013
22,5,18,33.35179453
12,4,18,43.61541774
22,6,22,40.26975751
2,1,16,24.30432193
8,4,23,29.04793184
16,3,28,28.1390468
16,4,36,38.13029971
19,3,23,39.63888194
15,3,38,35.00473594
21,3,37,9.244734183
12,5,30,38.66021314
18,3,31,56.5721129
16,3,30,36.80770351
3,1,26,48.52686144
11,0,17,42.19934259
8,2,25,60.63921775
18,0,28,62.01069876
11,3,32,41.06065963
8,1,35,50.34164789
6,4,35,5.257336161
13,1,19,25.9621589
19,3,30,45.70230344
18,1,34,33.68136226
14,6,19,19.31470011
15,1,17,48.25217371
20,3,26,60.12698893
4,5,15,43.21305525
2,6,35,23.27053108
11,1,23,5.616434768
19,2,23,23.61000109
20,2,18,34.04883657
3,1,17,5.708431085
20,5,31,20.77174019
22,4,16,46.24714857
15,3,38,36.7771326
6,2,15,18.90301955
12,4,22,10.96900599
20,1,27,43.02360731
9,4,37,20.24057724
6,6,29,47.22861847
13,0,22,23.66668037
4,2,26,23.10507299
2,1,36,22.57671234
22,3,26,8.119774867
10,5,28,33.72450079
10,6,29,37.98516288
17,1,29,35.42564289
14,3,23,11.2295972
11,5,33,31.04780756
8,5,34,45.62680179
9,1,36,59.07848546
11,6,22,22.06074463
16,4,35,21.71686746
5,4,33,32.83371764
6,5,20,33.48826941
13,4,34,26.11783523
12,0,39,24.9376713
7,5,33,27.23664518
9,5,18,58.74703848
8,3,37,40.75251056
17,4,21,47.29693064
1,6,18,27.68016936
4,5,36,47.71403119
4,6,26,42.47743558
5,0,27,21.30940952
18,3,17,58.86386396
7,1,36,9.952847789
15,6,26,46.62712289
12,5,16,33.42395818
0,0,38,7.447583684
21,2,16,33.99155256
19,0,37,63.84114444
16,0,23,8.141029458
6,3,15,29.96094694
12,1,22,38.65074574
3,2,37,41.4616364
3,4,20,23.62223594
5,4,20,14.18749516
18,6,36,21.90540254
11,0,39,31.08767707
21,3,32,25.38099816
6,3,31,47.69349778
9,4,26,22.72722085
18,6,20,50.84279046
6,6,22,6.123479995
2,6,33,12.71453795
12,2,24,25.411055
12,1,15,25.46925993
17,2,39,35.85652443
19,5,27,60.95958657
7,5,31,33.75644715
8,1,17,62.9090794
6,4,22,44.67270379
0,1,28,31.3024908
2,3,17,42.52063779
12,5,30,33.91599246
16,0,27,8.535102392
23,0,34,38.32541255
0,4,38,9.270879857
5,3,31,31.73372513
20,2,27,51.61880926
5,3,20,7.993742369
11,0,31,15.38575943
12,0,28,46.20525045
12,5,31,32.73415215
14,3,22,16.08287085
20,3,25,51.0805897
15,0,34,31.8549389
21,2,15,27.5709065
20,4,21,63.92841387
10,6,35,35.75541998
4,4,35,21.89484994
3,3,31,41.00330444
2,4,24,44.80624818
18,0,25,25.63492518
19,0,36,29.024884
17,3,23,14.73021541
14,3,23,36.10453142
8,6,38,47.13677998
16,6,19,32.85462041
13,5,31,47.33479849
14,3,23,39.91601898
0,2,31,10.7571616
20,4,38,35.63781871
21,3,35,24.59271408
21,1,33,22.81827149
2,5,21,35.11888741
15,1,37,45.13518965
22,0,23,18.77231586
10,6,21,29.83447114
11,4,27,40.52342399
9,3,25,38.72981265
15,1,28,12.56531578
7,4,33,26.37279344
5,0,25,7.485013433
11,6,27,47.40725543
23,2,28,8.366954234
20,5,27,39.73055219
7,4,15,28.84465675
3,4,22,49.33867245
7,2,26,12.47098206
17,4,33,10.14941834
4,0,26,5.391776618
8,0,22,27.00071466
3,2,22,14.32728406
21,5,35,33.37614237
16,3,27,14.88680557
8,1,26,20.92343666
0,3,30,42.19782555
20,4,15,36.45180655
19,1,27,35.9163509
12,2,21,18.61155631
15,2,19,48.89179747
12,5,22,12.65519378
13,1,39,45.42071288
2,0,28,39.95614995
5,1,37,8.441597997
17,4,27,49.40280957
18,0,29,32.21146836
4,6,37,9.436231716
14,6,31,42.31914054
1,6,29,36.80039902
9,2,34,47.77484626
23,1,32,12.01913887
17,6,32,26.53232523
12,3,16,40.12502121
4,5,18,18.66307722
22,3,15,19.02604228
23,6,18,5.141340772
0,5,32,12.84095307
21,4,19,44.39325313
0,3,33,24.87859212
17,1,29,49.29055247
14,1,22,22.80685836
16,3,34,37.18339047
10,6,31,17.68635693
20,1,15,36.37143385
21,4,26,13.58266944
16,0,33,20.61780658
12,6,29,29.62568842
0,4,23,49.62977964
1,5,21,34.88907709
8,4,16,28.96606795
2,6,23,7.023264872
0,5,24,10.68604166
20,6,16,45.31498406
15,1,33,39.4322148
22,0,25,47.31886433
5,6,27,5.71204274
16,6,24,28.52420637
4,1,28,26.18903103
4,2,32,34.52247599
5,1,33,30.18104845
2,5,36,35.91676178
20,1,23,49.61371631
22,1,39,10.26552762
4,0,21,40.98730611
20,1,17,25.54546591
4,6,34,36.43387813
9,0,20,38.72654154
9,3,35,43.12328306
18,2,16,60.64841065
16,0,20,45.04476769
20,5,17,56.80353375
13,3,30,27.95667712
8,0,22,53.13079146
13,0,16,28.0803675
0,2,31,44.13227371
18,6,23,38.1249125
12,5,26,48.6605905
12,4,17,46.95452412
3,4,25,38.37211788
0,0,15,17.57371479
16,1,37,10.9244115
7,5,27,43.46165525
1,3,29,12.43860288
7,1,19,43.4417355
6,1,35,27.0844253
1,5,31,23.29505527
21,6,39,45.64358505
21,0,37,32.17329421
2,0,38,30.94763032
17,0,39,30.14446751
11,0,20,21.70262822
0,4,35,40.35393966
21,0,36,16.37592998
11,4,25,47.2502732
4,4,32,45.22933423
16,6,18,20.18661466
15,0,17,37.82586964
14,2,27,30.79504375
22,3,37,20.19421859
14,1,23,49.48347416
4,4,35,6.135680563
20,5,20,31.36907138
13,5,26,28.40333275
1,3,16,28.48788516
10,5,17,31.50198837
18,2,17,53.82542774
6,5,26,33.05650237
5,1,29,32.01266572
1,1,23,7.408150831
5,4,37,21.94386295
17,0,22,15.44250829
1,6,25,16.94165502
17,2,30,29.94518635
14,4,39,13.97773917
18,2,36,33.22770955
1,0,18,15.66881188
19,5,15,62.68263244
5,5,38,47.50995795
0,6,21,32.44737014
23,0,16,46.60351109
14,4,38,40.36156905
22,6,19,31.54765473
9,0,21,20.28958452
18,3,18,54.76323287
16,1,19,36.61197537
4,6,38,32.6864144
3,6,15,39.21909403
9,4,15,43.08149741
23,2,29,36.68374721
16,3,34,47.0827439
9,4,33,36.91122571
16,0,24,36.86548257
19,0,32,41.40595181
23,0,17,35.34798433
4,0,25,39.3302001
1,2,29,7.04536252
5,3,25,34.09701998
20,5,31,30.2033533
1,1,31,35.1514642
12,2,20,26.07485837
10,2,19,39.80987338
10,5,22,10.55303668
15,5,16,33.18450582
10,1,30,17.5311828
18,1,34,58.38418979
14,5,38,46.77725775
22,0,26,49.83792322
22,2,20,40.82033311
15,4,15,38.91803317
10,1,18,14.69753415
21,1,31,20.12031765
15,5,27,25.95571438
7,3,32,39.80214715
3,4,19,46.17346393
7,4,38,13.5112595
3,1,38,46.50653681
23,0,17,36.30310936
2,3,25,32.48468288
2,4,27,13.99285721
17,1,18,7.498626476
18,4,28,45.58092043
18,6,36,49.31820575
20,3,25,29.48516522
4,3,24,30.04052926
17,6,33,43.54220312
9,2,32,57.57796755
21,6,20,46.73098313
20,5,29,36.46486143
5,5,35,19.31223076
0,1,24,38.72417027
4,3,19,24.40005823
8,2,19,23.93968988
11,2,24,17.72605088
13,4,19,23.83620285
1,4,17,18.16323915
16,6,37,19.94925069
13,2,20,18.21991578
12,6,18,6.867462523
8,6,32,48.66926154
14,4,23,31.87815892
21,3,31,34.40225743
14,6,27,13.65394532
23,0,29,18.30445437
10,3,34,32.88271671
15,2,31,31.98324058
16,2,27,27.78486392
3,6,30,20.76859625
0,3,36,46.08189521
7,4,18,20.2896609
16,4,19,25.50286204
2,5,19,35.51512239
19,2,23,44.43596439
14,1,31,20.60986894
14,5,27,24.60401557
23,4,16,40.7516368
21,3,27,17.515812
13,4,36,11.40148579
22,3,35,19.09234408
13,5,37,43.2290397
23,2,33,9.004537169
1,4,17,49.6263233
12,6,24,29.34513045
13,3,16,49.31805848
23,2,27,47.25483899
18,1,33,40.37661714
6,3,31,13.93209836
2,5,35,12.41981495
14,1,28,15.79952137
22,1,26,36.95596883
13,0,35,17.28274976
10,4,26,20.36413713
14,3,25,25.19504618
12,1,21,46.09547062
17,0,18,13.5227038
5,5,33,5.226194867
2,2,15,7.704338467
18,6,38,60.71448538
14,6,17,34.13824092
22,3,27,17.28682787
4,1,29,12.97366255
9,6,16,33.24200315
6,4,25,10.16586173
16,6,18,47.36898096
6,6,33,40.28927785
21,6,31,25.80760296
11,0,17,43.92331723
16,1,32,16.22561919
12,4,22,37.27042558
19,1,36,58.52596246
3,3,39,21.05459202
9,3,38,54.08590005
2,3,33,18.27825572
8,5,19,33.44857109
12,6,21,9.817573035
17,5,35,24.80261209
14,0,22,37.83703579
3,3,19,47.30993625
14,4,31,32.17086464
21,1,19,43.8410992
1,6,18,42.01225922
14,2,36,12.80043738
7,4,33,26.8617843
7,6,35,10.2615591
16,5,16,35.69689227
11,5,25,47.74548507
18,4,36,26.16902561
9,5,27,53.02474089
8,3,29,48.45071679
4,0,26,31.26222667
5,1,36,22.55541056
19,0,35,35.98092415
1,6,36,7.036213506
23,1,25,14.80589187
12,1,21,5.682959703
5,0,19,31.16376975
4,4,31,9.763395615
0,1,38,44.28587273
20,0,34,43.54143593
21,1,23,36.48604591
20,2,28,38.48856913
5,4,26,30.22609141
5,3,20,47.41966296
22,1,31,8.723031783
15,2,33,16.42719974
3,3,33,40.09947471
10,3,30,9.44317431
23,6,26,8.404749676
22,1,26,21.26936294
8,0,34,24.14755813
22,1,20,31.3285299
2,2,37,15.18238629
18,3,18,60.30640834
7,1,20,40.25750364
4,0,25,36.48673427
3,6,15,32.76248123
23,1,38,43.85595787
5,4,37,15.03779277
1,6,29,44.28989792
19,0,25,55.52715343
10,2,39,38.66723719
3,3,33,30.25650551
14,1,32,16.08098724
5,0,31,24.05965622
21,6,33,40.71067945
16,4,35,6.430031796
23,0,28,40.19228462
5,5,32,15.80318332
18,4,33,26.49391403
1,6,29,10.20655932
14,2,29,6.226250538
10,3,18,28.56139183
7,6,21,14.82169427
18,2,27,64.52442946
12,1,17,30.84965401
11,0,30,11.20483712
4,5,23,35.99431434
5,4,22,45.39846049
21,4,34,38.53307729
3,0,27,8.439793747
18,5,31,60.31478815
19,0,31,55.72682236
0,1,31,12.1236755
19,2,15,22.33036499
16,6,22,30.07897589
11,4,33,12.02161151
14,1,20,42.55659287
0,2,17,21.12505955
13,1,19,46.08016001
5,5,27,30.45596775
4,4,29,13.22025729
10,6,28,11.28194903
3,0,37,30.94125969
12,0,30,39.28476253
10,2,32,40.16775415
2,6,36,17.4090832
0,3,36,14.19110415
5,5,25,5.754033702
17,2,17,35.5639618
23,3,36,8.44557163
9,1,24,38.93425408
4,5,24,32.07569738
22,1,35,47.16990252
9,6,30,34.03109616
11,4,26,16.23974731
1,5,16,34.43720694
12,3,23,32.86575644
7,4,38,19.94494025
1,0,17,46.7645826
19,3,38,58.01880474
0,2,39,15.07921456
4,0,29,15.76141454
8,0,17,43.05351561
16,2,33,39.81074458
8,5,32,21.98181707
10,0,22,36.20008192
14,6,31,34.17061538
23,3,22,15.41660432
5,4,21,35.6608856
22,0,21,47.30824361
2,3,17,7.105363024
16,1,15,19.38434249
4,3,18,24.71795225
11,4,39,45.46671615
17,3,19,48.3017651
13,2,15,24.98518609
20,4,29,53.75127855
23,5,19,28.92474607
10,1,27,29.20023206
8,2,22,32.51447818
1,5,22,14.76303106
11,3,19,17.96024057
2,4,23,30.03476033
2,1,15,6.311983371
0,2,18,45.8262025
7,5,17,12.03276693
21,5,16,14.90399046
7,1,22,28.32242794
10,6,37,36.95516449
8,3,23,24.30780746
4,1,16,19.29626139
13,5,28,48.59035725
2,0,28,16.80543351
20,2,18,34.08725653
4,1,20,42.64243208
4,6,25,7.259649426
18,5,17,40.9075926
13,3,22,22.0827544
3,5,17,19.2464042
12,3,28,17.85648173
9,1,27,24.11183472
17,3,27,19.16716232
7,4,16,6.937358122
7,4,27,40.14337386
6,4,33,22.92025073
7,6,20,24.97567245
13,6,30,45.21175639
18,0,16,49.61247427
5,6,22,5.36265965
0,1,31,47.44286703
22,5,37,15.67150097
14,5,16,9.842638314
0,0,24,39.56576803
16,6,30,27.52147921
0,3,20,24.51967547
14,0,16,16.22763859
22,3,16,29.63621704
1,3,27,17.34730723
13,2,38,45.57123524
20,5,29,29.68420159
7,4,16,44.79598177
7,6,21,30.17324416
18,3,17,57.28196603
6,2,22,37.07806981
18,5,37,51.35128001
5,4,28,19.59556135
5,3,38,15.52536192
2,3,37,14.48988025
6,0,36,43.57362457
18,0,21,56.91920691
7,5,35,24.82580876
9,4,21,25.95820761
19,3,15,37.20135134
14,5,31,32.87045544
14,5,23,25.44814195
0,1,35,40.10851708
19,6,27,64.893027
6,0,35,13.60094398
3,4,33,25.68428688
5,3,35,24.39427559
0,5,33,18.70216397
4,3,39,13.91429825
22,1,39,7.956145242
0,4,36,44.92036928
3,5,31,23.8931914
21,3,37,27.36029833
1,0,37,46.26239217
9,6,24,54.93307149
4,1,24,10.87255689
9,4,18,45.44389854
0,1,22,24.90135244
21,0,36,40.87449827
5,4,34,37.59046464
12,1,34,36.06825749
14,2,32,20.3245176
3,0,28,41.22336787
12,0,32,7.357608302
23,0,28,12.18312056
19,2,34,35.10304728
23,2,35,8.456334848
14,3,38,15.57474249
7,5,29,42.35679423
4,6,36,47.6713192
14,1,18,18.70710601
3,3,27,16.90321118
11,1,37,17.59516935
12,6,22,17.49735893
1,5,32,6.616858198
18,2,26,61.71123558
18,5,37,29.61641637
3,2,28,23.90018333
3,6,16,5.435909723
10,5,32,43.60797909
4,3,38,37.9020805
19,4,16,62.60402158
10,3,25,40.17269656
9,1,23,34.11679304
7,3,26,16.15430114
5,6,31,36.39723384
5,0,29,21.38507488
7,1,39,30.47967571
22,5,31,5.281586196
14,1,32,7.784856576
13,4,36,29.09155735
10,2,20,30.47322409
11,5,31,38.8153825
12,1,37,10.93843938
7,5,38,28.09323877
17,5,32,13.750144
0,5,22,9.19382538
14,2,23,23.47231073
7,6,20,12.35014916
10,3,19,14.98018902
11,5,26,19.28995609
11,0,39,16.67247803
3,6,25,8.941608383
15,4,39,9.046231019
3,2,15,13.69622369
4,1,25,7.275163458
